"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.074948877E0,-7.937391289E-3,-2.727631629E-1,-1.889873147E-1
3.085080713E0,-5.918946583E-3,-2.744682431E-1,-1.869671941E-1
3.095273584E0,-3.885797691E-3,-2.754302025E-1,-1.839761138E-1
3.105435938E0,-8.790689753E-4,-2.775751054E-1,-1.887728423E-1
3.115628809E0,1.140415203E-3,-2.789378464E-1,-1.955198348E-1
3.125821680E0,2.160912612E-3,-2.785174549E-1,-1.906009018E-1
3.145475000E0,-1.751902979E-3,-2.752530873E-1,-1.681361347E-1
3.156369775E0,-8.542333380E-4,-2.714158297E-1,-1.768600196E-1
3.175687402E0,8.583275601E-3,-2.603303194E-1,-2.118402869E-1
3.185758203E0,1.322978362E-2,-2.540545166E-1,-2.244738638E-1
3.195829004E0,1.588460431E-2,-2.469794601E-1,-2.137631327E-1
3.205899805E0,1.751892641E-2,-2.410562038E-1,-1.913798451E-1
3.215970606E0,1.812984236E-2,-2.362705022E-1,-1.602435857E-1
3.226102441E0,2.063575387E-2,-2.326203436E-1,-1.582982987E-1
3.236478418E0,2.309043333E-2,-2.310760021E-1,-1.709476709E-1
3.256589502E0,2.981466986E-2,-2.342013419E-1,-2.147474289E-1
3.266782373E0,3.214870393E-2,-2.368623167E-1,-2.206057459E-1
3.286466211E0,3.374832124E-2,-2.443358749E-1,-2.352693975E-1
3.296506494E0,3.395505995E-2,-2.481458038E-1,-2.411617935E-1
3.306577295E0,3.504247591E-2,-2.520044744E-1,-2.441487163E-1
3.316648096E0,3.408235312E-2,-2.568728030E-1,-2.208833843E-1
3.326718897E0,3.398561105E-2,-2.617715597E-1,-2.024995834E-1
3.336820215E0,3.280352429E-2,-2.647216022E-1,-1.831639111E-1
3.346860498E0,3.054971248E-2,-2.686496973E-1,-1.784395278E-1
3.356931299E0,3.113568947E-2,-2.705975771E-1,-1.961125433E-1
3.367032617E0,3.360595554E-2,-2.696146369E-1,-2.167209834E-1
3.377103418E0,3.408121318E-2,-2.666664720E-1,-2.305383533E-1
3.397061914E0,2.324682660E-2,-2.579048872E-1,-1.910822392E-1
3.407224268E0,1.780105568E-2,-2.569622695E-1,-1.679648906E-1
3.417295068E0,1.236432698E-2,-2.560495734E-1,-1.516660303E-1
3.427335352E0,8.897566237E-3,-2.590311170E-1,-1.382959038E-1
3.437436670E0,6.434365176E-3,-2.619965374E-1,-1.259092391E-1
3.447507471E0,3.031356493E-3,-2.658710182E-1,-1.232681349E-1
3.457578272E0,6.358558894E-4,-2.696667016E-1,-1.245375648E-1
3.467649072E0,-7.539552753E-4,-2.713818252E-1,-1.394530982E-1
3.477719873E0,-2.110461704E-3,-2.710369229E-1,-1.436895132E-1
3.487790674E0,-5.389292259E-3,-2.696094513E-1,-1.450320929E-1
3.497830957E0,-8.643389679E-3,-2.709956765E-1,-1.347228885E-1
3.507932275E0,-8.932793513E-3,-2.722710371E-1,-1.254096180E-1
3.517972559E0,-1.013036165E-2,-2.724606693E-1,-1.170922592E-1
3.528043359E0,-1.124095358E-2,-2.706109881E-1,-1.126862615E-1
3.548184961E0,-1.311833505E-2,-2.638486326E-1,-1.204458028E-1
3.558255762E0,-1.288068015E-2,-2.600087523E-1,-1.335715204E-1
3.568326563E0,-1.249822136E-2,-2.591443658E-1,-1.496101767E-1
3.578458398E0,-1.197189186E-2,-2.564136088E-1,-1.646703631E-1
3.589353174E0,-1.131244749E-2,-2.528116107E-1,-1.719385982E-1
3.608975977E0,-1.160522830E-2,-2.449335903E-1,-1.650469601E-1
3.619138330E0,-9.675006382E-3,-2.386950552E-1,-1.489467770E-1
3.639005273E0,-2.755566034E-3,-2.284026891E-1,-1.342515349E-1
3.658994287E0,3.217728343E-3,-2.184777558E-1,-1.536071599E-1
3.669065088E0,3.254150273E-3,-2.146614939E-1,-1.627957523E-1
3.679135889E0,4.232925829E-3,-2.110131383E-1,-1.710017025E-1
3.689206690E0,5.177876912E-3,-2.075313628E-1,-1.791968495E-1
3.699277490E0,5.177876912E-3,-2.075313628E-1,-1.791968495E-1
3.709348291E0,8.884992450E-3,-1.972727627E-1,-1.741416007E-1
3.719541162E0,8.720183745E-3,-1.905056238E-1,-1.608903557E-1
3.729611963E0,7.532590535E-3,-1.829886138E-1,-1.466456801E-1
3.739774316E0,8.235315792E-3,-1.757338792E-1,-1.401597261E-1
3.749967188E0,9.852960706E-3,-1.707094908E-1,-1.365642697E-1
3.760160059E0,1.141511463E-2,-1.659537256E-1,-1.387755871E-1
3.770932764E0,1.292281784E-2,-1.624530256E-1,-1.467969865E-1
3.789945215E0,1.481801923E-2,-1.610897630E-1,-1.617798656E-1
3.799985498E0,1.521533821E-2,-1.602687240E-1,-1.697206348E-1
3.810056299E0,1.557748299E-2,-1.596512645E-1,-1.727732420E-1
3.820127100E0,1.590133458E-2,-1.582568437E-1,-1.699683666E-1
3.830228418E0,1.617899537E-2,-1.560692191E-1,-1.651965827E-1
3.840360254E0,1.542852074E-2,-1.540800780E-1,-1.604056954E-1
3.850370020E0,1.559083629E-2,-1.503204405E-1,-1.585144401E-1
3.860471338E0,1.666329056E-2,-1.467445046E-1,-1.585501879E-1
3.870542139E0,1.864791103E-2,-1.423576325E-1,-1.624590605E-1
3.880551904E0,2.155056968E-2,-1.381353587E-1,-1.673256010E-1
3.890683740E0,2.343065292E-2,-1.340924352E-1,-1.702235788E-1
3.900754541E0,2.526547946E-2,-1.292268336E-1,-1.711596549E-1
3.910825342E0,2.511319146E-2,-1.255061626E-1,-1.691561639E-1
3.920896143E0,2.686405368E-2,-1.238699034E-1,-1.681103706E-1
3.930966943E0,2.760081366E-2,-1.233643666E-1,-1.699625552E-1
3.941037744E0,2.829906903E-2,-1.220071241E-1,-1.698569655E-1
3.951444238E0,2.799070068E-2,-1.207863241E-1,-1.648698747E-1
3.971280664E0,2.825048752E-2,-1.206378415E-1,-1.499884129E-1
